Data,Ativo Total,Outros Ativos Circulantes,Tributos Diferidos,Obrig Sociais e Trabalhistas,Fornecedores,Obrig Fiscais,Lucros/Prej Acumulados,Custo de Bens e/ou Servicos Vendidos,Resultado da Equivalencia Patrimonial,Resultado Antes Tributacao/Participacao
31/12/2011,241.783.112,3.664.302,3.691.552,2.527.258,9.156.706,2.037.589,0,-11.135.033,-178.791,10.282.238
31/03/2012,242.568.102,3.680.634,3.917.462,1.380.149,8.493.405,1.132.588,6.720.400,-10.049.383,437.02,7.547.922
30/06/2012,253.501.358,3.606.004,3.774.883,1.976.060,8.908.928,841.596,8.760.166,-11.670.292,309.6,2.993.529
30/09/2012,272.265.085,5.032.808,5.013.850,2.151.717,9.227.404,2.438.910,12.088.250,-12.364.942,313.869,3.908.815
31/12/2012,266.921.640,4.511.161,8.134.034,3.024.651,9.255.150,1.974.208,0,-17.912.766,180.1,-7.859.182
31/03/2013,268.785.156,5.283.522,8.578.269,1.718.216,8.265.281,2.087.411,6.349.189,-11.438.127,341.539,7.952.903
30/06/2013,282.120.946,4.545.073,9.468.064,2.182.004,9.238.012,1.467.285,2.728.506,-12.865.323,104.406,610.358
30/09/2013,292.741.349,10.612.199,10.463.103,2.669.837,8.896.467,3.650.127,10.678.006,-14.292.233,292.732,9.912.908
31/12/2013,291.880.305,11.743.937,10.596.332,3.247.361,8.836.523,2.753.607,0,-13.914.955,260.153,-3.482.686
31/03/2014,288.843.137,6.806.935,10.613.801,1.811.334,7.859.251,1.611.683,5.908.759,-13.171.595,458.665,7.920.463
30/06/2014,283.575.615,6.302.507,9.669.963,2.262.038,8.209.002,2.024.318,9.096.027,-13.566.266,542.163,5.326.271
30/09/2014,301.095.322,4.793.344,10.551.501,2.914.952,9.968.180,2.358.445,5.714.641,-14.809.608,74.362,-4.100.122
31/12/2014,309.415.510,12.282.078,10.560.010,3.088.833,11.566.246,2.398.519,0,-17.538.437,66.491,-6.327.177
31/03/2015,335.397.749,13.824.083,14.035.636,1.687.179,11.001.453,2.058.317,-9.538.426,-14.988.204,-825.358,-12.341.190
30/06/2015,333.058.114,14.271.263,13.341.423,1.630.447,11.890.000,3.040.730,-4.394.920,-15.967.647,668.041,5.561.990
30/09/2015,393.410.183,19.297.767,31.710.292,1.809.649,13.832.192,3.209.305,-11.057.929,-18.024.690,-1.204.337,-24.165.943
31/12/2015,345.549.439,17.590.180,30.867.534,1.463.767,13.139.911,3.268.529,0,-19.677.196,-144.796,-33.930.435
31/03/2016,339.061.506,17.229.967,27.316.836,1.468.189,11.199.787,2.771.477,6.310.976,-16.466.945,589.204,9.730.597
30/06/2016,324.097.212,18.102.315,23.396.264,1.582.613,12.488.855,2.646.036,9.895.999,-16.790.836,657.895,8.179.630
30/09/2016,331.396.973,18.489.848,22.234.159,1.924.407,12.176.861,2.558.614,11.738.180,-16.082.354,149.399,3.220.679
31/12/2016,322.696.151,30.759.037,23.930.905,2.362.089,11.829.842,2.700.077,0,-11.803.298,-285.483,5.891.049
31/03/2017,326.375.834,16.757.314,22.582.231,1.416.569,11.555.690,2.557.428,7.891.113,-14.865.132,224.935,10.414.611
30/06/2017,325.210.833,16.627.108,23.472.597,2.147.327,12.392.797,2.971.948,7.951.438,-16.461.959,-83.035,402.757
30/09/2017,323.424.879,15.214.968,21.069.083,2.939.785,12.711.971,3.290.880,15.094.424,-17.098.918,367.021,10.568.180
31/12/2017,328.096.711,14.056.793,21.958.781,3.641.102,13.367.055,3.482.644,0,-18.831.303,-207.103,3.498.600
31/03/2018,313.706.512,3.797.633,20.297.075,1.872.506,11.960.265,3.091.965,5.045.204,-16.970.344,272.964,7.784.200
30/06/2018,339.647.169,2.835.935,0,2.674.345,13.832.036,3.450.536,5.367.437,-19.462.361,177.39,-1.923.792
30/09/2018,342.278.570,2.390.565,0,3.517.680,16.168.571,3.162.779,3.426.400,-22.827.340,133.464,8.059.008
31/12/2018,341.714.862,2.432.348,0,4.054.028,13.609.716,3.331.427,0,-21.940.861,-1.277.304,11.198.808
31/03/2019,366.875.542,2.529.953,0,2.059.423,12.981.326,4.294.870,-6.421.966,-17.749.930,313.297,-8.989.699
30/06/2019,366.869.545,2.444.947,0,2.462.653,14.970.936,4.031.042,-6.806.122,-20.282.096,-2.860.871,1.439.579
30/09/2019,391.021.101,6.300.616,0,3.096.329,17.703.733,6.161.547,-264.477,-22.627.537,500.313,10.328.271
31/12/2019,369.670.324,6.640.027,0,3.183.381,16.555.739,3.801.797,0,-23.175.997,-636.642,-13.983.162
31/03/2020,439.707.009,5.851.696,0,2.265.701,15.642.493,3.752.302,984.38,-19.214.588,-766.987,-2.465.143
30/06/2020,455.303.496,3.815.131,0,2.716.377,16.067.817,3.922.256,6.272.780,-22.667.063,-2.785.192,5.731.941
30/09/2020,451.139.568,3.242.473,0,3.827.954,17.478.283,6.318.306,21.887.875,-25.893.132,-210.679,19.329.784
31/12/2020,478.129.488,5.736.639,0,4.559.584,17.495.960,6.718.851,0,-30.792.712,-1.673.072,5.330.407
31/03/2021,495.568.880,10.747.091,0,2.782.670,17.732.893,6.504.540,30.564.233,-25.397.180,-93.422,40.138.965
30/06/2021,483.789.275,7.156.198,0,3.461.201,18.893.310,10.173.351,67.024.945,-30.574.617,-2.264.490,50.849.157
30/09/2021,472.574.394,12.789.152,0,3.968.469,22.282.244,15.905.843,40.681.210,-30.533.591,670.218,18.659.621
31/12/2021,499.128.009,7.285.000,0,4.553.000,19.392.999,13.959.999,0,-30.761.609,-5.259.306,49.499.259
31/03/2022,441.316.016,6.473.000,0,2.549.000,16.327.000,6.228.000,23.046.001,-24.174.000,1.119.000,34.143.001
