Data,(USA GDP Quarterly)__(US$ (Millions)),(Cobre)__(Último),(Cobre)__(Vol),(Cobre)__(Var),(EU GDP Quarterly)__(EU GDP (Millions Euros)),(Emprego Industria BR)__(Pessoal Empregado industria),(Europe Main Unenployment Rate)__(Unemployment Germany),(Europe Main Unenployment Rate)__(Unenployment France),(Europe Main Unenployment Rate)__(Unenployment Italy),(Europe Main Unenployment Rate)__(Unemployement England),(Europe Main Unenployment Rate)__(Mean Main Europe),(Unemployement USA)__(usa_unemploy),(Construção Civil China)__(Gross Output Value of Construction(100 million yuan)),(Merge)__(Taxa de cambio minerais metalicos),(Merge)__(Taxa de cambio compra media),(Merge)__(Taxa de cambio compra_fim de periodo),(Merge)__(Exportaçoes FOB),(Merge)__(PIBbrasil),(Merge)__(PIBacumulado12),(Vale Finanças)__(Receita Operacional Bruta),(Vale Finanças)__(Impostos),(Vale Finanças)__(Receita Operacional Líquida),(Vale Finanças)__(Custo dos Produtos Vendidos),(Vale Finanças)__(Lucro bruto),(Vale Finanças)__(Margem bruta (%)),(Vale Finanças)__(Resultado de Participações Societárias),(Vale Finanças)__(Equivalência Patrimonial),(Vale Finanças)__(Amortização de Ágio),(Vale Finanças)__(Outras),(Vale Finanças)__(Despesas Operacionais),(Vale Finanças)__(Vendas),(Vale Finanças)__(Administrativas),(Vale Finanças)__(Pesquisa e Desenvolvimento),(Vale Finanças)__(Outras Despesas Operacionais Líquidas),(Vale Finanças)__(Resultado Financeiro),(Vale Finanças)__(Despesas Financeiras),(Vale Finanças)__(Receitas Financeiras),(Vale Finanças)__(Variações Monetárias),(Vale Finanças)__(Lucro Operacional),(Vale Finanças)__(Resultado em  Operações Descontinuadas),(Vale Finanças)__(IR e Contribuição Social),(Vale Finanças)__(Lucro Líquido  *),(Vale Ações)__(Var),(Vale Ações)__(Class),(Vale Ações)__(Preço),(varIvestimento (FBCF))__(USA),(varIvestimento (FBCF))__(BRA),(varIvestimento (FBCF))__(OECD),(varIvestimento (FBCF))__(G7),(GDP OECD)__(OECD),(Preço Produtor Mundo)__(OECD),(Preço Produtor Mundo)__(EU)
2002-04-01 00:00:00,2721842,0.7505,75366.66667,-2.31,2130904.7,91.76512014,9.666666667,8.633333333,8.833333333,11.3,9.608333333,5.915694089,66231.66831,342.2814327,2.3617,2.3617,4612.069084,120385.9,1358396.3,1601,-57,1544,-852,10843,0.449,152,284,-66,1,-178,-28,-90,22,-38,-65,-121,32,24,601,-,31,632,21.56,Alta,2.836666667,0.018217346,1.078515555,-0.107483046,-0.504063685,0.795054213,75.20176,75.48328
2002-07-01 00:00:00,2751463,0.674,42300,-2.94,2122869.7,91.82478458,9.833333333,8.6,8.6,11.2,9.558333333,5.776441926,66008.25034,415.6116404,3.4277,3.4277,6202.182481,126856.6,1405319.2,1843,-81,1762,-972,790,44.8,407,626,-104,-,-237,-35,-94,31,-77,-1146,-201,52,-997,-186,-,272,86,12.72,Alta,3.183333333,0.195294854,2.195599572,0.68738144,0.690762174,0.501174097,75.5151,76.0014
2002-10-01 00:00:00,2824686,0.671833333,49086.66667,0.94,2237447.4,91.58171174,10.1,8.566666667,8.466666667,11.1,9.558333333,5.938038754,66977.04325,503.0882024,3.6442,3.6442,6456.465,133125.4,1453478.1,2340,-81,2259,-1028,1231,54.5,482,962,-108,5,-312,-44,-91,47,-130,-2613,-495,4,-2122,-1212,111,885,-216,18.03,Alta,3.89,-0.052623948,1.986988611,0.829076622,0.497523951,0.343155216,75.86443,76.36469
2003-01-01 00:00:00,2743734,0.741,96656.66667,5.316666667,2104810.4,90.03333333,10.46666667,8.3,8.733333333,11.1,9.65,5.956682534,68889.44828,464.4882303,3.525,3.525,4780.278337,127177.5,1503589.9,2786,-114,2672,-1281,1391,52.1,412,474,-194,-3,-362,-79,-98,48,-137,598,-42,14,626,2039,-,-498,1541,-11.12,Baixa,3.796666667,0.732576146,-2.965870786,0.296738671,-0.013564277,0.204043946,76.95631,77.40646
2003-04-01 00:00:00,2831413,0.760166667,67300,0.393333333,2176378.6,91.93333333,10.6,8.5,8.466666667,11.3,9.716666667,6.22841156,7919.11,393.4841701,2.889,2.889,5681.705996,141388.1,1564734.4,2517.618,-100.847,2416.771,-1247.883,1168.888,48.36569125,335.08,418.62,-93.172,,-284.557,-51.68,-88.758,38.255,-105.864,144.895,-184.646,49.617,279.924,1364.306,,-200.478,1163.828,-7.14,Baixa,3.293333333,1.949921597,-6.712284041,0.649464224,0.751606312,0.524691854,76.36093,76.86164
2003-07-01 00:00:00,2886905,0.680833333,69356.66667,-4.756666667,2180871.3,91.66666667,10.53333333,8.433333333,8.4,11.3,9.666666667,6.150882741,14892.3,365.7732753,2.9647,2.9647,6087.497688,145970.6,1614470.7,2206.413,-87.4,2119.013,-1210.849,908.164,42.8578777,150.992,370.497,-184.639,,-308.491,-45.319,-96.577,35.89,-130.705,783.144,-163.5,61.167,885.477,1533.809,,-259.082,1274.727,35.81,Alta,4.306666667,3.026981782,0.543726504,1.484583622,1.470621406,1.043362294,76.50135,76.87881
2003-10-01 00:00:00,2994399,0.724833333,67120,1.993333333,2305471.9,91.1,10.5,8.833333333,8.2,11.2,9.683333333,5.935774248,21865.49,360.7010797,2.8554,2.8554,7532.647324,154925.9,1676712.4,2766,-86.946,2679.054,-1350.8,1328.254,49.57921714,487.094,246,-113.258,0,-226.024,-55.927,-97.097,64,-9,-273.025,-145.078,59.945,-187.892,1316.299,,-38.001,1278.298,41.72,Alta,5.58,1.55618533,4.371260254,1.793729517,1.248306749,1.067848688,76.83671,77.14109
2004-01-01 00:00:00,2924602,0.765166667,125126.6667,1.086666667,2190223,90.83333333,10.33333333,8.9,8.266666667,11,9.625,5.774906165,3882.01,354.5624191,2.9401,2.9401,5785.343912,144558.6,1735331.5,2877,-79,2798,-1547.8,1250.2,44.68191565,149,417,-114,0,-357,-64,-124,95,-74,-261,-240,51,-72,781.2,,11,792.2,-5.28,Baixa,6.3,-0.244329293,3.229732028,0.552412006,-0.068147149,0.773072147,77.6873,77.75929
2004-04-01 00:00:00,3032386,0.756,69586.66667,1.75,2286248.7,93.9,10.46666667,8.8,8.033333333,10.6,9.475,5.652946799,10096.65,300.4273768,2.9439,2.9439,6581.422428,156953.9,1781058,2731,-123,2608,-1476,1132,43.4,510,595,-57,,-440,-104,-63,85,-183,-205,-165,29,-69,997,,-43,954,-5.21,Baixa,5.633333333,2.347333436,3.588244043,1.221946156,1.307701863,0.69606893,79.32268,79.37299
2004-07-01 00:00:00,3069688,0.815833333,68500,2.916666667,2274736.2,96.46666667,10.63333333,8.833333333,7.833333333,10.1,9.35,5.484474358,16487.01,303.4029264,3.026,3.026,8962.900814,171370.9,1853700.2,3578,-194,3384,-1775,1609,47.5,1136,1247,-80,,-305,-134,-76,88,-,-703,-153,20,-570,1737,,-54,1683,29.81,Alta,6.826666667,1.697145974,1.97410885,0.911541152,0.965369339,0.597136879,80.11845,80.41579
