Date;Exportações - (FOB);PIB (12 meses);PIB (R$);Taxa de câmbio (R$/US$) comercial compra média;Taxa de câmbio (R$/US$) comercial compra fim período;
1953.01;0;0;0;6,68E-15;6,68E-15;
1953.02;0;0;0;1,34E-14;1,49E-14;
1953.03;0;0;0;1,34E-14;1,49E-14;
1953.04;0;0;0;1,49E-14;1,42E-14;
1953.05;0;0;0;1,43E-14;1,56E-14;
1953.06;0;0;0;1,57E-14;1,59E-14;
1953.07;0;0;0;1,58E-14;1,45E-14;
1953.08;0;0;0;1,44E-14;1,36E-14;
1953.09;0;0;0;1,36E-14;1,35E-14;
1953.10;0;0;0;1,35E-14;1,35E-14;
1953.11;0;0;0;1,37E-14;1,85E-14;
1953.12;0;0;0;1,86E-14;1,98E-14;
1954.01;0;0;0;1,98E-14;1,93E-14;
1954.02;0;0;0;1,94E-14;2,13E-14;
1954.03;0;0;0;2,13E-14;2,06E-14;
1954.04;0;0;0;2,05E-14;1,84E-14;
1954.05;0;0;0;1,84E-14;2,00E-14;
1954.06;0;0;0;2,00E-14;2,04E-14;
1954.07;0;0;0;2,04E-14;2,13E-14;
1954.08;0;0;0;2,13E-14;2,17E-14;
1954.09;0;0;0;2,18E-14;2,25E-14;
1954.10;0;0;0;2,26E-14;2,33E-14;
1954.11;0;0;0;2,33E-14;2,53E-14;
1954.12;0;0;0;2,53E-14;2,62E-14;
1955.01;0;0;0;2,62E-14;2,55E-14;
1955.02;0;0;0;2,55E-14;2,58E-14;
1955.03;0;0;0;2,58E-14;2,67E-14;
1955.04;0;0;0;2,67E-14;2,69E-14;
1955.05;0;0;0;2,69E-14;2,69E-14;
1955.06;0;0;0;2,69E-14;2,65E-14;
1955.07;0;0;0;2,64E-14;2,53E-14;
1955.08;0;0;0;2,53E-14;2,49E-14;
1955.09;0;0;0;2,49E-14;2,36E-14;
1955.10;0;0;0;2,36E-14;2,29E-14;
1955.11;0;0;0;2,29E-14;2,31E-14;
1955.12;0;0;0;2,31E-14;2,35E-14;
1956.01;0;0;0;2,35E-14;2,44E-14;
1956.02;0;0;0;2,44E-14;2,42E-14;
1956.03;0;0;0;2,43E-14;2,47E-14;
1956.04;0;0;0;2,48E-14;2,55E-14;
1956.05;0;0;0;2,56E-14;2,76E-14;
1956.06;0;0;0;2,76E-14;2,76E-14;
1956.07;0;0;0;2,75E-14;2,55E-14;
1956.08;0;0;0;2,55E-14;2,55E-14;
1956.09;0;0;0;2,53E-14;2,36E-14;
1956.10;0;0;0;2,36E-14;2,36E-14;
1956.11;0;0;0;2,36E-14;2,29E-14;
1956.12;0;0;0;2,29E-14;2,31E-14;
1957.01;0;0;0;2,31E-14;2,31E-14;
1957.02;0;0;0;2,31E-14;2,34E-14;
1957.03;0;0;0;2,33E-14;2,30E-14;
1957.04;0;0;0;2,31E-14;2,42E-14;
1957.05;0;0;0;2,42E-14;2,60E-14;
1957.06;0;0;0;2,59E-14;2,51E-14;
1957.07;0;0;0;2,51E-14;2,62E-14;
1957.08;0;0;0;2,63E-14;2,81E-14;
1957.09;0;0;0;2,81E-14;2,92E-14;
1957.10;0;0;0;2,93E-14;3,07E-14;
1957.11;0;0;0;3,08E-14;3,32E-14;
1957.12;0;0;0;3,32E-14;3,23E-14;
1958.01;0;0;0;3,30E-14;3,50E-14;
1958.02;0;0;0;3,55E-14;3,52E-14;
1958.03;0;0;0;3,68E-14;3,87E-14;
1958.04;0;0;0;4,03E-14;4,37E-14;
1958.05;0;0;0;4,64E-14;4,45E-14;
1958.06;0;0;0;4,66E-14;4,74E-14;
1958.07;0;0;0;4,79E-14;4,81E-14;
1958.08;0;0;0;4,94E-14;5,54E-14;
1958.09;0;0;0;5,62E-14;5,61E-14;
1958.10;0;0;0;5,23E-14;5,08E-14;
1958.11;0;0;0;5,05E-14;4,92E-14;
1958.12;0;0;0;4,92E-14;5,01E-14;
1959.01;0;0;0;5,16E-14;5,14E-14;
1959.02;0;0;0;5,06E-14;4,97E-14;
1959.03;0;0;0;4,98E-14;4,99E-14;
1959.04;0;0;0;4,87E-14;4,90E-14;
1959.05;0;0;0;4,77E-14;4,70E-14;
1959.06;0;0;0;4,90E-14;5,20E-14;
1959.07;0;0;0;5,31E-14;5,45E-14;
1959.08;0;0;0;5,45E-14;5,45E-14;
1959.09;0;0;0;5,45E-14;5,45E-14;
1959.10;0;0;0;5,75E-14;5,82E-14;
1959.11;0;0;0;6,30E-14;6,55E-14;
1959.12;0;0;0;6,55E-14;6,55E-14;
1960.01;0;0;0;6,70E-14;6,65E-14;
1960.02;0;0;0;6,63E-14;6,62E-14;
1960.03;0;0;0;6,62E-14;6,62E-14;
1960.04;0;0;0;6,62E-14;6,62E-14;
1960.05;0;0;0;6,62E-14;6,62E-14;
1960.06;0;0;0;6,62E-14;6,62E-14;
1960.07;0;0;0;6,62E-14;6,62E-14;
1960.08;0;0;0;6,62E-14;6,62E-14;
1960.09;0;0;0;6,62E-14;6,62E-14;
1960.10;0;0;0;6,62E-14;6,62E-14;
1960.11;0;0;0;6,62E-14;6,62E-14;
1960.12;0;0;0;6,67E-14;6,91E-14;
1961.01;0;0;0;7,33E-14;7,82E-14;
1961.02;0;0;0;7,82E-14;7,82E-14;
1961.03;0;0;0;8,76E-14;9,67E-14;
1961.04;0;0;0;1,00E-13;9,96E-14;
1961.05;0;0;0;9,57E-14;9,38E-14;
1961.06;0;0;0;9,29E-14;9,31E-14;
1961.07;0;0;0;9,31E-14;9,31E-14;
1961.08;0;0;0;9,57E-14;1,02E-13;
1961.09;0;0;0;1,04E-13;1,06E-13;
1961.10;0;0;0;1,07E-13;1,09E-13;
1961.11;0;0;0;1,09E-13;1,09E-13;
1961.12;0;0;0;1,09E-13;1,09E-13;
1962.01;0;0;0;1,13E-13;1,13E-13;
1962.02;0;0;0;1,13E-13;1,13E-13;
1962.03;0;0;0;1,13E-13;1,13E-13;
1962.04;0;0;0;1,13E-13;1,13E-13;
1962.05;0;0;0;1,18E-13;1,27E-13;
1962.06;0;0;0;1,27E-13;1,29E-13;
1962.07;0;0;0;1,30E-13;1,30E-13;
1962.08;0;0;0;1,39E-13;1,47E-13;
1962.09;0;0;0;1,63E-13;1,67E-13;
1962.10;0;0;0;1,67E-13;1,67E-13;
1962.11;0;0;0;1,67E-13;1,67E-13;
1962.12;0;0;0;1,67E-13;1,67E-13;
1963.01;0;0;0;1,67E-13;1,67E-13;
1963.02;0;0;0;1,67E-13;1,67E-13;
1963.03;0;0;0;1,67E-13;1,67E-13;
1963.04;0;0;0;1,82E-13;2,18E-13;
1963.05;0;0;0;2,18E-13;2,18E-13;
1963.06;0;0;0;2,18E-13;2,18E-13;
1963.07;0;0;0;2,18E-13;2,18E-13;
1963.08;0;0;0;2,18E-13;2,18E-13;
1963.09;0;0;0;2,18E-13;2,18E-13;
1963.10;0;0;0;2,18E-13;2,18E-13;
1963.11;0;0;0;2,18E-13;2,18E-13;
